中文名,日文名,简介
美丽守护者,プリティーガーディアン,魔法少女动画
卡塔梅爱好,カタメホビー,生产高级AI超级手办的公司
超级手办,スーパーフィギュア,高度AI搭载的智能手办
人偶病,人形病,使人体缩小的神秘疾病
公共代码,公共コード,允许特定职业人员获得女仆机器人最高权限的代码
超级手办修复膏,フィギュアクリーム,用于修复和改造超级手办的膏状物
甜美洛丽塔,甘ロリ,一种可爱甜美的服装风格
女仆机器人,メイドロボ,在学校处理杂务的机器人
女仆机器人操作系统,メイドロボOS,控制女仆机器人的系统
制造编号,製造番号,区分人类和女仆机器人的标识
纳米机器人纹身,ナノマシンの入れ墨,刻在女仆机器人身上的标记
充电和更新装置,充電とアップデートを担う装置,为女仆机器人充电和更新的设备
文化祭,文化祭,学校举办的文化活动
体育祭,体育祭,学校举办的体育活动
修学旅行,修学旅行,学校组织的集体旅行
公立,公立,由政府设立和管理的学校
部活,部活,课外社团活动
塾,塾,课外补习班
服饰部,服飾部,学校的服装相关社团
家庭科准备室,家庭科準備室,服装部的活动场所
黑魔术部,黑魔術部,学校的非正式魔法相关社团
魔法阵,魔法陣,施展魔法时使用的图案
职员室,職員室,教师办公的房间
mannequin,マネキン,用于展示服装的人体模型
魔法陣,魔法陣,施展魔法时使用的图案
人偶,人形,被魔法变成的状态
